regime,settlement_period,imbalance_price,abs_niv,temp_c,wind_pct,solar_wm2,hour
hot,27,136.0830238642334,267.92476455032187,22.210217391304347,14.283695652173913,668.6978260869565,13.0
hot,28,128.77783315582323,220.4718255240019,22.210217391304347,14.682608695652174,668.6978260869565,13.5
hot,29,130.0502377643273,214.2893467517162,22.70413043478261,15.076086956521738,650.2456521739131,14.0
hot,30,124.94384441282537,230.6661593693665,22.70413043478261,15.506521739130434,650.2456521739131,14.5
hot,31,128.39705903792355,239.101347384608,23.063695652173916,16.023913043478263,630.5934782608696,15.0
hot,32,135.004809290334,238.29230151261874,23.063695652173916,16.226086956521737,630.5934782608696,15.5
hot,33,147.72809374309062,246.16466885798783,23.06434782608696,16.389130434782608,553.5391304347826,16.0
hot,34,145.59149712562515,222.9288145889438,23.06434782608696,16.482608695652175,553.5391304347826,16.5
hot,35,149.78646052077144,202.99517767330187,22.87173913043478,16.582608695652173,462.14347826086953,17.0
hot,36,175.1169960010136,228.06857294228215,22.87173913043478,16.793478260869566,462.14347826086953,17.5
hot,37,192.93162051909076,248.30625987447326,22.428695652173914,16.93804347826087,359.07173913043476,18.0
hot,38,205.30270953761305,252.36672256560877,22.428695652173914,17.297826086956523,359.07173913043476,18.5
hot,39,209.0448009289703,285.8176505366397,21.725,17.51304347826087,239.9826086956522,19.0
hot,40,201.27217975713006,283.30619466900185,21.725,17.85,239.9826086956522,19.5
hot,41,190.2381180471293,265.8472172434426,20.532826086956522,18.286956521739132,132.03478260869565,20.0
hot,42,174.5366480055628,248.72126477096631,20.532826086956522,18.566304347826087,132.03478260869565,20.5
hot,43,193.40330532547404,262.08027223577767,18.98630434782609,18.85978260869565,43.03695652173913,21.0
hot,44,177.6648357814363,238.12684270961643,18.98630434782609,19.27934782608696,43.03695652173913,21.5
hot,45,174.19963532213808,257.5730255538924,17.783478260869565,19.74891304347826,3.6934782608695653,22.0
hot,46,146.59876236482052,212.89166081019155,17.783478260869565,20.59891304347826,3.6934782608695653,22.5
hot,47,150.74004476104727,250.03233854575907,16.873260869565218,21.218478260869563,0.0,23.0
hot,48,144.3807325772825,212.5748996860762,16.873260869565218,21.732608695652175,0.0,23.5
mild,1,81.29965641098892,225.07442712001105,11.030702702702703,31.394565217391307,0.0,0.0
mild,2,77.88307202896553,230.4764497630498,11.030702702702703,31.743478260869566,0.0,0.5
mild,3,79.9803164185115,207.81037937026463,10.720216216216217,31.80054347826087,0.0,1.0
mild,4,77.19280760810814,200.27754376480283,10.720216216216217,31.8625,0.0,1.5
mild,5,77.08337946016972,200.28174156890915,10.426054054054054,31.925,0.0,2.0
mild,6,70.37991390563857,197.89024052984877,10.426054054054054,31.942391304347826,0.0,2.5
